Temperature, Density, Number of particles, Number of time steps, Step size
16,0.2,500,10000,0.005
Average potential energy, Pressure
-5.6888,7.7077
Radial Distribution Function
r, g(r)
10.58,0.047198
10.6,0.047469
10.62,0.04803
10.64,0.045381
10.66,0.046569
10.68,0.047007
10.7,0.046408
10.72,0.046826
10.74,0.046155
10.76,0.046529
10.78,0.047392
10.8,0.046526
10.82,0.046064
10.84,0.046704
10.86,0.045511
10.88,0.045697
10.9,0.04673
10.92,0.046591
10.94,0.046146
10.96,0.045727
10.98,0.046647
11,0.045355
11.02,0.045734
11.04,0.046348
11.06,0.044547
11.08,0.045422
11.1,0.044589
11.12,0.045441
11.14,0.044981
11.16,0.045279
11.18,0.044038
11.2,0.045212
11.22,0.04411
11.24,0.044483
11.26,0.0447
11.28,0.043444
11.3,0.044453
11.32,0.044713
11.34,0.044834
11.36,0.044075
11.38,0.043223
11.4,0.043042
11.42,0.043233
11.44,0.04398
11.46,0.044122
11.48,0.043033
11.5,0.042098
11.52,0.043503
11.54,0.044394
11.56,0.042461
11.58,0.043813
11.6,0.043849
11.62,0.042038
11.64,0.044071
11.66,0.043192
11.68,0.04175
11.7,0.042274
11.72,0.04314
11.74,0.042563
11.76,0.04178
11.78,0.04259
11.8,0.042264
11.82,0.042649
11.84,0.042041
11.86,0.041562
11.88,0.042384
11.9,0.041173
11.92,0.041568
11.94,0.041313
11.96,0.041005
11.98,0.041551
12,0.042019
12.02,0.041658
12.04,0.041587
12.06,0.041255
12.08,0.040547
12.1,0.041513
12.12,0.041826
12.14,0.042142
12.16,0.0414
12.18,0.041532
12.2,0.041344
12.22,0.041703
12.24,0.041631
12.26,0.04074
12.28,0.040447
12.3,0.041483
12.32,0.040127
12.34,0.04043
12.36,0.039665
12.38,0.040271
12.4,0.040413
12.42,0.04049
12.44,0.041188
12.46,0.040781
12.48,0.03969
12.5,0.04016
12.52,0.040224
12.54,0.039824
12.56,0.039765
12.58,0.039945
12.6,0.039421
12.62,0.040167
12.64,0.039063
12.66,0.039363
12.68,0.039161
12.7,0.039422
12.72,0.039418
12.74,0.038517
12.76,0.039058
12.78,0.039519
12.8,0.038708
12.82,0.039007
12.84,0.040063
12.86,0.038723
12.88,0.038404
12.9,0.038938
12.92,0.038277
12.94,0.037991
12.96,0.039099
12.98,0.037838
13,0.037894
13.02,0.038831
13.04,0.038632
13.06,0.038201
13.08,0.037613
13.1,0.037029
13.12,0.038061
13.14,0.038569
13.16,0.038115
13.18,0.037352
13.2,0.03833
13.22,0.038748
13.24,0.037147
13.26,0.038039
13.28,0.037127
13.3,0.037838
13.32,0.03749
13.34,0.037688
13.36,0.037195
13.38,0.037057
13.4,0.037368
13.42,0.037892
13.44,0.037887
13.46,0.037764
13.48,0.037502
13.5,0.036805
13.52,0.036474
13.54,0.037499
13.56,0.036364
13.58,0.037662
13.6,0.036146
13.62,0.036652
13.64,0.036283
13.66,0.035714
13.68,0.036554
13.7,0.03624
13.72,0.037099
13.74,0.036492
13.76,0.035797
13.78,0.036541
13.8,0.03537
13.82,0.035568
13.84,0.035399
13.86,0.036196
13.88,0.035845
13.9,0.036019
13.92,0.03576
13.94,0.036421
13.96,0.036407
13.98,0.036124
14,0.035887
14.02,0.036209
14.04,0.035791
14.06,0.035439
14.08,0.035373
14.1,0.036141
14.12,0.035674
14.14,0.035267
14.16,0.035599
14.18,0.035638
14.2,0.035894
14.22,0.035592
14.24,0.035425
14.26,0.034662
14.28,0.035041
14.3,0.035
14.32,0.035172
14.34,0.035159
14.36,0.034694
14.38,0.034377
14.4,0.034253
14.42,0.034672
14.44,0.03465
14.46,0.034513
14.48,0.033422
14.5,0.034069
14.52,0.034136
14.54,0.033849
14.56,0.034503
14.58,0.034098
14.6,0.034774
14.62,0.034293
14.64,0.034199
14.66,0.034228
14.68,0.03445
14.7,0.033911
14.72,0.0339
14.74,0.033611
14.76,0.034193
14.78,0.033701
14.8,0.033876
14.82,0.033382
14.84,0.033495
14.86,0.033906
14.88,0.034183
14.9,0.033597
14.92,0.033132
14.94,0.033296
14.96,0.033112
14.98,0.033495
15,0.034406
15.02,0.033661
15.04,0.032958
15.06,0.03311
15.08,0.033453
15.1,0.033096
15.12,0.033289
15.14,0.032312
15.16,0.033164
15.18,0.032811
15.2,0.032318
15.22,0.032447
15.24,0.032687
15.26,0.032764
15.28,0.033381
15.3,0.03261
15.32,0.032434
15.34,0.032374
15.36,0.032841
15.38,0.03301
15.4,0.032814
15.42,0.032145
15.44,0.032237
15.46,0.032141
15.48,0.032147
15.5,0.032525
15.52,0.031708
15.54,0.03196
15.56,0.031629
15.58,0.031784
15.6,0.031762
15.62,0.032286
15.64,0.031457
15.66,0.031579
15.68,0.032102
15.7,0.031965
15.72,0.031794
15.74,0.031474
15.76,0.031699
15.78,0.031556
15.8,0.032048
15.82,0.032083
15.84,0.031902
15.86,0.031389
15.88,0.031811
15.9,0.031393
15.92,0.0318
15.94,0.031633
15.96,0.031367
15.98,0.031759
16,0.031047
16.02,0.031412
16.04,0.031156
16.06,0.031169
16.08,0.030979
16.1,0.030962
16.12,0.031393
16.14,0.030477
16.16,0.03029
16.18,0.03023
16.2,0.030807
16.22,0.030377
16.24,0.031108
16.26,0.030958
16.28,0.031189
16.3,0.030547
16.32,0.030494
16.34,0.03043
16.36,0.030189
16.38,0.030723
16.4,0.030659
16.42,0.030314
16.44,0.031181
16.46,0.030822
16.48,0.030751
16.5,0.030966
16.52,0.030816
16.54,0.030561
16.56,0.030303
